,clusters_anno,DC1,DC2
SS.sc7785217-0,Epi-VE 5.5,-0.06977634,0.10106435
SS.sc7785218-0,Epi-VE 5.5,-0.047425196,0.0892359
SS.sc7785231-0,Epi-VE 5.5,-0.023523223,0.04061193
SS.sc7785234-0,Epi-VE 5.5,-0.057867683,0.03042944
SS.sc7785237-0,AVE 5.5,0.059029743,-0.0077586276
SS.sc7785239-0,Epi-VE 5.5,-0.051633902,0.036160246
SS.sc7785241-0,AVE 5.5,-0.06206136,0.05798904
SS.sc7785242-0,AVE 5.5,0.042981073,0.01910109
SS.sc7785245-0,AVE 5.5,0.062405575,-0.0276982
SS.sc7785255-0,Epi-VE 5.5,-0.019696463,0.06732814
SS.sc7785257-0,AVE 5.5,-0.06069467,0.10951993
SS.sc7785259-0,AVE 5.5,-0.02891784,0.042050622
SS.sc7785267-0,AVE 5.5,0.035222065,0.011755488
SS.sc7785269-0,Epi-VE 5.5,-0.07788833,0.028528105
25619_3.3-1,AVE 6.25,0.08083402,-0.052223865
25619_3.6-1,Epi-VE 6.25,-0.067149065,-0.039599746
25619_3.7-1,AVE 6.25,0.06883139,-0.025081607
25619_3.10-1,Epi-VE 6.25,-0.06283757,-0.08932906
25619_3.33-1,AVE 6.25,0.036077905,0.031331897
25619_3.34-1,AVE 6.25,-0.021834893,0.026451208
25619_3.38-1,AVE 6.25,0.061697703,-0.0147043755
25619_3.46-1,Epi-VE 6.25,-0.0328175,-0.073965855
25619_3.69-1,AVE 6.25,0.07523037,-0.04554344
25619_3.74-1,AVE 6.25,0.085563794,-0.035353906
25619_3.76-1,Epi-VE 6.25,-0.07556802,-0.15947789
25619_3.77-1,AVE 6.25,0.06392529,0.029923644
25619_3.79-1,Epi-VE 6.25,-0.06580853,-0.051220883
25619_3.82-1,Epi-VE 6.25,-0.04534113,-0.055246048
25619_3.84-1,AVE 6.25,-0.0028042435,0.024385327
25619_3.90-1,Epi-VE 6.25,-0.09550313,-0.16038616
25619_3.92-1,AVE 6.25,0.06760214,-0.053956144
25619_3.99-1,AVE 6.25,0.06827253,-0.03354024
25619_3.100-1,Epi-VE 6.25,-0.082491085,-0.13619177
25619_3.101-1,AVE 6.25,0.056739237,0.024271673
25619_3.102-1,AVE 6.25,0.054581203,0.02227891
25619_3.103-1,AVE 6.25,0.07008079,-0.02415083
25619_3.104-1,AVE 6.25,0.0983382,-0.048750136
25619_3.105-1,Epi-VE 6.25,-0.08657702,-0.15648963
25619_3.108-1,Epi-VE 6.25,-0.07751063,-0.09845788
25619_3.110-1,AVE 6.25,0.06809681,0.015914563
25619_3.111-1,Epi-VE 6.25,-0.013071588,-0.017230902
25619_3.117-1,AVE 6.25,0.0661589,0.019358791
25619_3.122-1,AVE 6.25,0.07803203,-0.038757596
25619_3.124-1,AVE 6.25,0.046179846,-0.017376937
25619_3.127-1,Epi-VE 6.25,-0.086144365,-0.0963736
25619_3.130-1,AVE 6.25,0.07850006,-0.05038208
25619_3.135-1,Epi-VE 6.25,-0.09106772,-0.13044016
25619_3.138-1,AVE 6.25,0.044543765,-0.083135
25619_3.151-1,Epi-VE 6.25,-0.09449824,-0.11798356
25619_3.152-1,AVE 6.25,0.034983907,0.01756979
25619_3.155-1,Epi-VE 6.25,-0.08197055,-0.15465024
25619_3.156-1,AVE 6.25,0.030936906,0.02282249
25619_3.157-1,AVE 6.25,-0.032933038,0.013819255
25619_3.158-1,AVE 6.25,0.056491546,0.031187078
25619_3.162-1,Epi-VE 6.25,-0.08543059,-0.1584889
25619_3.173-1,AVE 6.25,0.056215595,0.0012942269
25619_3.176-1,AVE 6.25,0.05872386,0.0070998026
25619_3.177-1,Epi-VE 6.25,-0.08188864,-0.13973576
25619_3.182-1,AVE 6.25,0.070156515,-0.05553784
25619_3.191-1,AVE 6.25,0.017851377,0.024585461
25619_3.193-1,AVE 6.25,0.07427267,-0.059875607
25619_3.195-1,Epi-VE 6.25,-0.04301737,0.0057111345
25619_3.201-1,AVE 6.25,-0.049735278,-0.010680453
25619_3.202-1,AVE 6.25,0.03308889,0.049554
25619_3.214-1,Epi-VE 6.25,-0.078355685,-0.110066414
25619_3.215-1,AVE 6.25,0.06625691,-0.05919922
25619_3.219-1,AVE 6.25,0.08679038,-0.038899746
25619_3.221-1,Epi-VE 6.25,-0.046358712,-0.011953251
25619_3.222-1,Epi-VE 6.25,-0.097522624,-0.15323986
25619_3.223-1,AVE 6.25,0.077731095,-0.045011945
25619_3.226-1,Epi-VE 6.25,-0.08158731,-0.16279419
25619_3.228-1,Epi-VE 6.25,-0.08105653,-0.15811202
25619_3.229-1,Epi-VE 6.25,-0.050889272,-0.031400606
25619_3.230-1,Epi-VE 6.25,-0.037811063,-0.021959933
25619_3.236-1,AVE 6.25,0.07841731,-0.044430733
25619_3.242-1,AVE 6.25,0.04091573,-0.06885781
25619_3.244-1,Epi-VE 6.25,-0.041283775,-0.030314373
25619_3.250-1,AVE 6.25,-0.058950175,-0.083621256
25619_3.252-1,AVE 6.25,-0.015258764,0.07008314
25619_3.260-1,Epi-VE 6.25,-0.08097085,-0.15188462
25619_3.262-1,AVE 6.25,0.09420144,-0.054980796
25619_3.266-1,AVE 6.25,0.063198134,-0.024040924
25619_3.267-1,AVE 6.25,0.074684046,-0.069770716
25619_3.270-1,Epi-VE 6.25,-0.062292278,0.033509612
25619_3.271-1,AVE 6.25,0.067579955,-0.03848724
25619_3.274-1,AVE 6.25,0.092147276,-0.029000271
25619_3.277-1,AVE 6.25,-0.005966039,0.00057456834
25619_3.288-1,Epi-VE 6.25,-0.057195682,-0.0025720198
25619_3.293-1,Epi-VE 6.25,-0.079336226,-0.038288966
25619_3.294-1,Epi-VE 6.25,-0.015453708,-0.0051107816
25619_3.299-1,Epi-VE 6.25,-0.06390935,-0.11642877
25619_3.300-1,AVE 6.25,0.08004942,-0.05028077
25619_3.301-1,AVE 6.25,0.05330396,-0.023095768
25619_3.302-1,AVE 6.25,0.07072497,0.023994626
25619_3.304-1,AVE 6.25,0.026489565,0.0070032384
25619_3.317-1,AVE 6.25,0.04625838,0.02257054
25619_3.318-1,Epi-VE 6.25,-0.05520395,-0.03929096
25619_3.320-1,AVE 6.25,0.08162369,-0.045908917
25619_3.323-1,Epi-VE 6.25,-0.0817183,-0.15262116
25619_3.325-1,AVE 6.25,0.09103033,-0.048508883
25619_3.329-1,Epi-VE 6.25,-0.06474909,-0.09951216
25619_3.330-1,Epi-VE 6.25,-0.063542284,-0.09386059
25619_3.341-1,AVE 6.25,0.05505615,0.029422097
25619_3.345-1,AVE 6.25,0.048647415,0.02561411
25619_3.349-1,AVE 6.25,0.070935495,0.017814672
25619_3.350-1,AVE 6.25,0.054874476,-0.0469976
25619_3.360-1,AVE 6.25,0.07401344,-0.060322855
25619_3.362-1,Epi-VE 6.25,-0.081049316,-0.084173255
25619_3.367-1,AVE 6.25,0.076376356,-0.048075154
25619_3.370-1,AVE 6.25,0.04865175,0.028584234
25619_3.371-1,AVE 6.25,0.08342936,-0.06359777
25619_3.372-1,AVE 6.25,0.06453762,-0.03661289
25619_3.373-1,Epi-VE 6.25,-0.082994565,-0.14280805
25619_3.376-1,AVE 6.25,0.0643194,-0.04037979
25619_3.378-1,AVE 6.25,0.065548375,0.020352185
25619_3.379-1,Epi-VE 6.25,-0.09252071,-0.17414777
